igsn,campaign,kit_id,transect_location,albite,chlorite,dolomite,halite,hornblende,kaolinite,microcline,muscovite,pyrite,quartz
IEEXG001Q,EC1,K004,transition,11.1281,0,0,0,0,8.9955,14.7087,0,0,65.1677
IEEXG001N,EC1,K004,upland,9.9059,0,0,0,0,3.7195,8.4124,18.6292,0,59.3331
IEEXG001K,EC1,K004,wetland,6.3117,0.952,0.8542,0,0,8.2042,11.0118,36.3749,0,36.2912
IEEXG003I,EC1,K008,transition,16.5106,0,1.9505,0,0,10.2061,9.4909,0,0,61.8418
IEEXG003F,EC1,K008,upland,14.3907,0,0.6208,0,2.7062,0,9.1936,0,0,73.0886
IEEXG003C,EC1,K008,wetland,17.6531,0,7.1241,0,0,6.1276,10.737,0,0,58.3582
IEEXG003Y,EC1,K009,transition,17.0171,0,0,0,0,3.9346,11.7093,0,0,67.3391
IEEXG003V,EC1,K009,upland,13.6342,0,0,0,0,4.3998,10.7376,0,0,71.2284
IEEXG003S,EC1,K009,wetland,10.2521,0.5264,0,0,0,6.4213,11.1498,21.3847,0,50.2657
IEEXG004E,EC1,K010,transition,14.6018,0,0,0.7881,0,4.8576,10.941,0,0,68.8114
IEEXG004B,EC1,K010,upland,9.717,0,0,0,0,2.2708,8.3588,12.5959,0,67.0575
IEEXG0048,EC1,K010,wetland,13.2167,0.4604,0,0,0,3.8122,12.4669,16.382,0,53.6618
IEEXG004U,EC1,K011,transition,11.4772,0,0,0,0,3.3089,10.0379,0,0,75.176
IEEXG004R,EC1,K011,upland,11.8157,0,0,0,0,1.8612,8.3064,13.4467,0,64.5701
IEEXG004O,EC1,K011,wetland,12.3591,0.3472,0,0,0,3.8998,8.3682,17.2748,0,57.7508
IEEXG0054,EC1,K012,wetland,9.2914,0,0.9374,0,2.3995,2.1803,16.9997,0,0,68.1918
IEEXG005Q,EC1,K013,transition,7.3113,0,0,0,4.0661,9.8891,7.2354,0,0,71.4981
IEEXG005N,EC1,K013,upland,6.2268,0,1.774,0,4.9048,3.6933,3.3995,0,0,80.0015
IEEXG005K,EC1,K013,wetland,17.25,0,0,0,0,5.4013,11.5847,18.4428,0,47.3212
IEEXG0060,EC1,K014,wetland,1.8062,0,0,0,0,2.1365,4.4392,6.0464,0,85.5717
IEEXG006M,EC1,K015,transition,1.1407,0,0,0,0,2.1363,6.587,0,0,90.136
IEEXG006J,EC1,K015,upland,2.4946,0,0,0,0,1.2771,1.4837,0,0,94.7446
IEEXG006G,EC1,K015,wetland,7.4294,0,0,8.1388,0,15.1316,7.6866,28.4058,1.8795,31.3283
IEEXG0072,EC1,K016,transition,1.7995,0,0,0,1.6745,3.0298,5.0024,0,0,88.4938
IEEXG006Z,EC1,K016,upland,5.5001,0,0,0,0,7.9012,5.0182,0,0,81.5805
IEEXG006W,EC1,K016,wetland,7.3134,0,0,10.1814,0,14.4686,8.2444,27.4237,2.9323,29.4361
