igsn,campaign,kit_id,transect_location,specific_conductance_us_cm
IEEXG001N,EC1,K004,upland,63.7
IEEXG001Q,EC1,K004,transition,105
IEEXG001K,EC1,K004,wetland,561
IEEXG003F,EC1,K008,upland,70.1
IEEXG003C,EC1,K008,wetland,286
IEEXG003I,EC1,K008,transition,395
IEEXG003V,EC1,K009,upland,101
IEEXG003Y,EC1,K009,transition,110
IEEXG003S,EC1,K009,wetland,400
IEEXG004B,EC1,K010,upland,48.8
IEEXG004E,EC1,K010,transition,68.5
IEEXG0048,EC1,K010,wetland,244
IEEXG004U,EC1,K011,transition,56.4
IEEXG004R,EC1,K011,upland,59.8
IEEXG004O,EC1,K011,wetland,353
IEEXG0054,EC1,K012,wetland,99.1
IEEXG005Q,EC1,K013,transition,142
IEEXG005N,EC1,K013,upland,21
IEEXG005K,EC1,K013,wetland,252
IEEXG0060,EC1,K014,wetland,49
IEEXG006M,EC1,K015,transition,343
IEEXG006J,EC1,K015,upland,77
IEEXG006G,EC1,K015,wetland,11600
IEEXG0072,EC1,K016,transition,930
IEEXG006W,EC1,K016,wetland,14.1
IEEXG006Z,EC1,K016,upland,1820
IEEXG007I,EC1,K017,transition,431
IEEXG007F,EC1,K017,upland,33.8
IEEXG007C,EC1,K017,wetland,2410
IEEXG008E,EC1,K019,transition,75.9
IEEXG008B,EC1,K019,upland,128
IEEXG0088,EC1,K019,wetland,79.9
IEEXG008R,EC1,K020,upland,87.9
IEEXG009A,EC1,K021,transition,743
IEEXG0097,EC1,K021,upland,272
IEEXG0094,EC1,K021,wetland,244
IEEXG009N,EC1,K022,upland,95.7
IEEXG009Q,EC1,K022,transition,1080
IEEXG009K,EC1,K022,wetland,300
IEEXG00A3,EC1,K023,upland,138
IEEXG00A0,EC1,K023,wetland,408
IEEXG00AM,EC1,K024,transition,6730
IEEXG00AJ,EC1,K024,upland,1630
IEEXG00AG,EC1,K024,wetland,8680
IEEXG00B2,EC1,K025,transition,848
IEEXG00AZ,EC1,K025,upland,105
IEEXG00AW,EC1,K025,wetland,655
IEEXG00BI,EC1,K026,transition,379
IEEXG00BC,EC1,K026,wetland,9830
IEEXG00BF,EC1,K026,upland,77.8
IEEXG00CO,EC1,K029,wetland,4190
IEEXG00CU,EC1,K029,transition,4390
IEEXG00CR,EC1,K029,upland,1670
IEEXG00D4,EC1,K030,wetland,4850
IEEXG00D7,EC1,K030,upland,617
IEEXG00EJ,EC1,K033,upland,40.7
IEEXG00EG,EC1,K033,wetland,181
IEEXG00EZ,EC1,K034,upland,390
IEEXG00EW,EC1,K034,wetland,1180
IEEXG00F2,EC1,K034,transition,1830
IEEXG00FI,EC1,K035,transition,7210
IEEXG00FF,EC1,K035,upland,71
IEEXG00FC,EC1,K035,wetland,4770
IEEXG00FY,EC1,K036,transition,4110
IEEXG00FV,EC1,K036,upland,2560
IEEXG00FS,EC1,K036,wetland,7680
IEEXG00G8,EC1,K037,wetland,325
IEEXG00GR,EC1,K038,upland,63.9
IEEXG00GO,EC1,K038,wetland,115
IEEXG00H7,EC1,K039,upland,19.6
IEEXG00HA,EC1,K039,transition,323
IEEXG00H4,EC1,K039,wetland,333
IEEXG00HK,EC1,K040,wetland,6120
IEEXG00HQ,EC1,K040,transition,14400
IEEXG00HN,EC1,K040,upland,227
IEEXG00I0,EC1,K041,wetland,2540
IEEXG00I6,EC1,K041,transition,15000
IEEXG00I3,EC1,K041,upland,365
IEEXG00IM,EC1,K042,transition,220
IEEXG00IJ,EC1,K042,upland,86.1
IEEXG00IG,EC1,K042,wetland,292
IEEXG00JC,EC1,K044,wetland,2730
IEEXG00JI,EC1,K044,transition,4470
