igsn,campaign,kit_id,transect_location,moisturecontent_perc_drywtbasis
IEEXG001L,EC1,K004,wetland,302
IEEXG001R,EC1,K004,transition,110
IEEXG001O,EC1,K004,upland,44
IEEXG003D,EC1,K008,wetland,204
IEEXG003J,EC1,K008,transition,312
IEEXG003G,EC1,K008,upland,33
IEEXG003T,EC1,K009,wetland,338
IEEXG003Z,EC1,K009,transition,137
IEEXG003W,EC1,K009,upland,17
IEEXG004F,EC1,K010,transition,71
IEEXG0049,EC1,K010,wetland,173
IEEXG004C,EC1,K010,upland,35
IEEXG004V,EC1,K011,transition,30
IEEXG004P,EC1,K011,wetland,160
IEEXG004S,EC1,K011,upland,18
IEEXG0055,EC1,K012,wetland,80
IEEXG005L,EC1,K013,wetland,300
IEEXG005R,EC1,K013,transition,78
IEEXG005O,EC1,K013,upland,25
IEEXG006H,EC1,K015,wetland,223
IEEXG006N,EC1,K015,transition,71
IEEXG006K,EC1,K015,upland,34
IEEXG006X,EC1,K016,wetland,329
IEEXG0073,EC1,K016,transition,41
IEEXG0070,EC1,K016,upland,119
IEEXG007D,EC1,K017,wetland,494
IEEXG007J,EC1,K017,transition,85
IEEXG007G,EC1,K017,upland,8
IEEXG0089,EC1,K019,wetland,12
IEEXG008F,EC1,K019,transition,32
IEEXG008C,EC1,K019,upland,51
IEEXG008S,EC1,K020,upland,41
IEEXG0095,EC1,K021,wetland,305
IEEXG009B,EC1,K021,transition,270
IEEXG0098,EC1,K021,upland,27
IEEXG009L,EC1,K022,wetland,181
IEEXG009R,EC1,K022,transition,353
IEEXG009O,EC1,K022,upland,58
IEEXG00A1,EC1,K023,wetland,605
IEEXG00A4,EC1,K023,upland,48
IEEXG00AH,EC1,K024,wetland,774
IEEXG00AK,EC1,K024,upland,151
IEEXG00AN,EC1,K024,transition,148
IEEXG00AX,EC1,K025,wetland,150
IEEXG00B3,EC1,K025,transition,173
IEEXG00B0,EC1,K025,upland,22
IEEXG00BD,EC1,K026,wetland,160
IEEXG00BJ,EC1,K026,transition,54
IEEXG00BG,EC1,K026,upland,10
IEEXG00BT,EC1,K027,wetland,797
IEEXG00BZ,EC1,K027,transition,26
IEEXG00BW,EC1,K027,upland,33
IEEXG00D5,EC1,K030,wetland,170
IEEXG00D8,EC1,K030,upland,81
IEEXG00EH,EC1,K033,wetland,230
IEEXG00EK,EC1,K033,upland,36
IEEXG00EX,EC1,K034,wetland,259
IEEXG00F3,EC1,K034,transition,416
IEEXG00F0,EC1,K034,upland,48
IEEXG00FD,EC1,K035,wetland,371
IEEXG00FJ,EC1,K035,transition,256
IEEXG00FG,EC1,K035,upland,16
IEEXG00FT,EC1,K036,wetland,387
IEEXG00FZ,EC1,K036,transition,449
IEEXG00FW,EC1,K036,upland,286
IEEXG00G9,EC1,K037,wetland,265
IEEXG00GS,EC1,K038,upland,22
IEEXG00GP,EC1,K038,wetland,274
IEEXG00H5,EC1,K039,wetland,895
IEEXG00HB,EC1,K039,transition,651
IEEXG00H8,EC1,K039,upland,58
IEEXG00HO,EC1,K040,upland,185
IEEXG00HL,EC1,K040,wetland,97
IEEXG00HR,EC1,K040,transition,618
IEEXG00I1,EC1,K041,wetland,23
IEEXG00I7,EC1,K041,transition,782
IEEXG00I4,EC1,K041,upland,100
IEEXG00IH,EC1,K042,wetland,303
IEEXG00IN,EC1,K042,transition,436
IEEXG00IK,EC1,K042,upland,20
IEEXG00JD,EC1,K044,wetland,179
IEEXG00JJ,EC1,K044,transition,527
IEEXG00JG,EC1,K044,upland,32
IEEXG00JT,EC1,K045,wetland,592
IEEXG00JZ,EC1,K045,transition,544
IEEXG00JW,EC1,K045,upland,162
IEEXG00K9,EC1,K046,wetland,270
IEEXG00KC,EC1,K046,upland,97
IEEXG00KP,EC1,K047,wetland,1363
IEEXG00KV,EC1,K047,transition,62
IEEXG00KS,EC1,K047,upland,68
IEEXG00L5,EC1,K048,wetland,167
IEEXG00LB,EC1,K048,transition,199
IEEXG00L8,EC1,K048,upland,33
IEEXG00LL,EC1,K049,wetland,74
IEEXG00LR,EC1,K049,transition,20
IEEXG00LO,EC1,K049,upland,0
IEEXG00M7,EC1,K050,transition,66
IEEXG00M1,EC1,K050,wetland,400
IEEXG00MN,EC1,K051,transition,315
IEEXG00MH,EC1,K051,wetland,28
IEEXG00MK,EC1,K051,upland,18
IEEXG00N3,EC1,K052,transition,18
IEEXG00N0,EC1,K052,upland,16
IEEXG00ND,EC1,K053,wetland,379
IEEXG00NJ,EC1,K053,transition,69
IEEXG00NG,EC1,K053,upland,18
IEEXG00NT,EC1,K054,wetland,389
IEEXG00NZ,EC1,K054,transition,247
IEEXG00NW,EC1,K054,upland,16
IEEXG00OC,EC1,K055,upland,31
IEEXG00Q1,EC1,K059,wetland,786
IEEXG00Q7,EC1,K059,transition,572
IEEXG00Q4,EC1,K059,upland,183
IEEXG00QH,EC1,K060,wetland,130
IEEXG00R3,EC1,K061,transition,36
IEEXG00QX,EC1,K061,wetland,88
IEEXG00R0,EC1,K061,upland,39
IEEXG00RD,EC1,K062,wetland,326
IEEXG00RJ,EC1,K062,transition,199
IEEXG00RG,EC1,K062,upland,44
