igsn,campaign,kit_id,transect_location,ph
IEEXG001N,EC1,K004,upland,6.21
IEEXG001Q,EC1,K004,transition,6.19
IEEXG001K,EC1,K004,wetland,6.18
IEEXG003F,EC1,K008,upland,6.66
IEEXG003C,EC1,K008,wetland,6.52
IEEXG003I,EC1,K008,transition,6.23
IEEXG003V,EC1,K009,upland,6.04
IEEXG003Y,EC1,K009,transition,6.08
IEEXG003S,EC1,K009,wetland,6.41
IEEXG004B,EC1,K010,upland,5.49
IEEXG004E,EC1,K010,transition,6.15
IEEXG0048,EC1,K010,wetland,6.42
IEEXG004U,EC1,K011,transition,5.18
IEEXG004R,EC1,K011,upland,7.55
IEEXG004O,EC1,K011,wetland,6.14
IEEXG0054,EC1,K012,wetland,6.75
IEEXG005Q,EC1,K013,transition,6.39
IEEXG005N,EC1,K013,upland,7.56
IEEXG005K,EC1,K013,wetland,6.1
IEEXG0060,EC1,K014,wetland,5.6
IEEXG006M,EC1,K015,transition,5.36
IEEXG006J,EC1,K015,upland,5.92
IEEXG006G,EC1,K015,wetland,4.75
IEEXG0072,EC1,K016,transition,5.17
IEEXG006W,EC1,K016,wetland,5.56
IEEXG006Z,EC1,K016,upland,5.05
IEEXG007I,EC1,K017,transition,5.29
IEEXG007F,EC1,K017,upland,5.29
IEEXG007C,EC1,K017,wetland,8.33
IEEXG008E,EC1,K019,transition,6.15
IEEXG008B,EC1,K019,upland,5.7
IEEXG0088,EC1,K019,wetland,6.94
IEEXG008R,EC1,K020,upland,5.51
IEEXG009A,EC1,K021,transition,5.52
IEEXG0097,EC1,K021,upland,5.72
IEEXG0094,EC1,K021,wetland,6.66
IEEXG009N,EC1,K022,upland,5.63
IEEXG009Q,EC1,K022,transition,5.16
IEEXG009K,EC1,K022,wetland,5.63
IEEXG00A3,EC1,K023,upland,4.13
IEEXG00A0,EC1,K023,wetland,5.04
IEEXG00AM,EC1,K024,transition,5.12
IEEXG00AJ,EC1,K024,upland,4.18
IEEXG00AG,EC1,K024,wetland,6.07
IEEXG00B2,EC1,K025,transition,5.82
IEEXG00AZ,EC1,K025,upland,4.25
IEEXG00AW,EC1,K025,wetland,6.42
IEEXG00BI,EC1,K026,transition,5.21
IEEXG00BC,EC1,K026,wetland,5.99
IEEXG00BF,EC1,K026,upland,5.44
IEEXG00CO,EC1,K029,wetland,6.2
IEEXG00CU,EC1,K029,transition,5.22
IEEXG00CR,EC1,K029,upland,3.88
IEEXG00D4,EC1,K030,wetland,5.93
IEEXG00D7,EC1,K030,upland,4.69
IEEXG00EJ,EC1,K033,upland,5.54
IEEXG00EG,EC1,K033,wetland,6.21
IEEXG00EZ,EC1,K034,upland,6.58
IEEXG00EW,EC1,K034,wetland,6.34
IEEXG00F2,EC1,K034,transition,5.15
IEEXG00FI,EC1,K035,transition,5.32
IEEXG00FF,EC1,K035,upland,5.33
IEEXG00FC,EC1,K035,wetland,5.89
IEEXG00FY,EC1,K036,transition,5.49
IEEXG00FV,EC1,K036,upland,4.53
IEEXG00FS,EC1,K036,wetland,5.75
IEEXG00G8,EC1,K037,wetland,6.52
IEEXG00GR,EC1,K038,upland,4.76
IEEXG00GO,EC1,K038,wetland,6.4
IEEXG00H7,EC1,K039,upland,4.47
IEEXG00HA,EC1,K039,transition,5.55
IEEXG00H4,EC1,K039,wetland,5.76
IEEXG00HK,EC1,K040,wetland,6.23
IEEXG00HQ,EC1,K040,transition,4.28
IEEXG00HN,EC1,K040,upland,4.01
IEEXG00I0,EC1,K041,wetland,6.02
