igsn,campaign,kit_id,transect_location,carbon_weight_perc
IEEXG001Q,EC1,K004,transition,7.091
IEEXG001N,EC1,K004,upland,4.293
IEEXG001K,EC1,K004,wetland,6.744
IEEXG003I,EC1,K008,transition,18.308
IEEXG003F,EC1,K008,upland,3.014
IEEXG003C,EC1,K008,wetland,6.624
IEEXG003Y,EC1,K009,transition,4.857
IEEXG003V,EC1,K009,upland,4.279
IEEXG003S,EC1,K009,wetland,9.181
IEEXG004E,EC1,K010,transition,3.745
IEEXG004B,EC1,K010,upland,3.845
IEEXG0048,EC1,K010,wetland,4.95
IEEXG004U,EC1,K011,transition,2.596
IEEXG004R,EC1,K011,upland,3.199
IEEXG004O,EC1,K011,wetland,5.822
IEEXG0054,EC1,K012,wetland,4.629
IEEXG005Q,EC1,K013,transition,10.513
IEEXG005N,EC1,K013,upland,12.305
IEEXG005K,EC1,K013,wetland,21.55
IEEXG0060,EC1,K014,wetland,2.587
IEEXG006M,EC1,K015,transition,2.32
IEEXG006J,EC1,K015,upland,5.467
IEEXG006G,EC1,K015,wetland,6.534
IEEXG0072,EC1,K016,transition,2.171
IEEXG006Z,EC1,K016,upland,28.385
IEEXG006W,EC1,K016,wetland,4.729
IEEXG007I,EC1,K017,transition,3.641
IEEXG007F,EC1,K017,upland,3.665
IEEXG007C,EC1,K017,wetland,6.922
IEEXG008E,EC1,K019,transition,1.981
IEEXG008B,EC1,K019,upland,7.341
IEEXG008R,EC1,K020,upland,7.633
IEEXG009A,EC1,K021,transition,11.458
IEEXG0097,EC1,K021,upland,7.029
IEEXG0094,EC1,K021,wetland,7.604
IEEXG009Q,EC1,K022,transition,24.205
IEEXG009N,EC1,K022,upland,5.275
IEEXG00A3,EC1,K023,upland,17.678
IEEXG00A0,EC1,K023,wetland,15.874
IEEXG00AM,EC1,K024,transition,9.35
IEEXG00AJ,EC1,K024,upland,26.575
IEEXG00B2,EC1,K025,transition,7.78
IEEXG00AZ,EC1,K025,upland,5.731
IEEXG00AW,EC1,K025,wetland,3.587
IEEXG00BI,EC1,K026,transition,12.052
IEEXG00BF,EC1,K026,upland,1.293
IEEXG00BC,EC1,K026,wetland,3.342
IEEXG00CU,EC1,K029,transition,18.914
IEEXG00CR,EC1,K029,upland,19.596
IEEXG00CO,EC1,K029,wetland,5.04
IEEXG00D7,EC1,K030,upland,24.207
IEEXG00D4,EC1,K030,wetland,4.579
IEEXG00EJ,EC1,K033,upland,9.067
IEEXG00EG,EC1,K033,wetland,5.043
IEEXG00F2,EC1,K034,transition,9.397
IEEXG00EZ,EC1,K034,upland,5.289
IEEXG00EW,EC1,K034,wetland,5.866
IEEXG00FI,EC1,K035,transition,9.179
IEEXG00FF,EC1,K035,upland,4.013
IEEXG00FC,EC1,K035,wetland,10.42
IEEXG00FY,EC1,K036,transition,14.431
IEEXG00FV,EC1,K036,upland,18.009
IEEXG00FS,EC1,K036,wetland,14.683
IEEXG00G8,EC1,K037,wetland,4.626
IEEXG00GR,EC1,K038,upland,4.642
IEEXG00GO,EC1,K038,wetland,9.382
IEEXG00HA,EC1,K039,transition,24.323
IEEXG00H7,EC1,K039,upland,3.474
IEEXG00H4,EC1,K039,wetland,34.594
IEEXG00HQ,EC1,K040,transition,21.083
IEEXG00HN,EC1,K040,upland,32.999
IEEXG00HK,EC1,K040,wetland,2.359
IEEXG00I6,EC1,K041,transition,22.355
IEEXG00I3,EC1,K041,upland,29.16
IEEXG00I0,EC1,K041,wetland,1.627
IEEXG00IM,EC1,K042,transition,12.937
IEEXG00IJ,EC1,K042,upland,5.12
IEEXG00IG,EC1,K042,wetland,6.699
IEEXG00JI,EC1,K044,transition,14.615
IEEXG00JF,EC1,K044,upland,22.084
IEEXG00JC,EC1,K044,wetland,4.745
IEEXG00JY,EC1,K045,transition,14.912
IEEXG00JV,EC1,K045,upland,30.094
IEEXG00JS,EC1,K045,wetland,9.34
IEEXG00K8,EC1,K046,wetland,5.77
IEEXG00KB,EC1,K046,upland,10.22
IEEXG00KU,EC1,K047,transition,5.037
IEEXG00KR,EC1,K047,upland,18.108
IEEXG00KO,EC1,K047,wetland,24.756
IEEXG00LA,EC1,K048,transition,7.604
IEEXG00L7,EC1,K048,upland,4.156
IEEXG00L4,EC1,K048,wetland,5.8
IEEXG00LQ,EC1,K049,transition,1.234
IEEXG00LN,EC1,K049,upland,0.362
IEEXG00M6,EC1,K050,transition,2.47
IEEXG00M3,EC1,K050,upland,27.688
IEEXG00M0,EC1,K050,wetland,7.249
IEEXG00MM,EC1,K051,transition,20.777
IEEXG00MJ,EC1,K051,upland,1.45
IEEXG00MG,EC1,K051,wetland,2.088
IEEXG00N2,EC1,K052,transition,1.559
IEEXG00MZ,EC1,K052,upland,2.295
IEEXG00NI,EC1,K053,transition,4.535
IEEXG00NF,EC1,K053,upland,5.165
IEEXG00NC,EC1,K053,wetland,9.562
IEEXG00NY,EC1,K054,transition,18.481
IEEXG00NV,EC1,K054,upland,6.663
IEEXG00NS,EC1,K054,wetland,16.715
IEEXG00OB,EC1,K055,upland,6.867
IEEXG00OU,EC1,K056,transition,3.971
IEEXG00OR,EC1,K056,upland,13.585
IEEXG00OO,EC1,K056,wetland,8.068
IEEXG00PQ,EC1,K058,transition,11.857
IEEXG00PN,EC1,K058,upland,27.922
IEEXG00PK,EC1,K058,wetland,4.717
IEEXG00Q6,EC1,K059,transition,18.433
IEEXG00Q3,EC1,K059,upland,26.907
IEEXG00Q0,EC1,K059,wetland,16.756
IEEXG00R2,EC1,K061,transition,2.048
IEEXG00QZ,EC1,K061,upland,2.381
IEEXG00QW,EC1,K061,wetland,3.633
IEEXG00RI,EC1,K062,transition,6.872
IEEXG00RF,EC1,K062,upland,6.676
IEEXG00RC,EC1,K062,wetland,7.044
