igsn,campaign,kit_id,transect_location,pebbles_angular_rounded,root_presence,root_thickness,visible_minerals,visible_organisms,uninhabited_shells,iron_oxidation,glass_plastic
IEEXG001N,EC1,K004,upland,none,few,fine,none,worms,none,no,no
IEEXG001Q,EC1,K004,transition,none,few,fine,none,molluscs,intact,no,no
IEEXG001K,EC1,K004,wetland,none,moderate,fine,none,none,none,yes,no
IEEXG003F,EC1,K008,upland,none,few,fine,none,none,none,no,no
IEEXG003I,EC1,K008,transition,none,few,fine,none,none,none,no,no
IEEXG003C,EC1,K008,wetland,none,few,fine,none,none,none,no,no
IEEXG003V,EC1,K009,upland,none,few,fine,none,none,none,no,no
IEEXG003Y,EC1,K009,transition,none,few,fine,none,none,none,no,no
IEEXG003S,EC1,K009,wetland,none,few,fine,none,molluscs,intact,yes,no
IEEXG004B,EC1,K010,upland,none,none,NA,none,worms,none,no,no
IEEXG004E,EC1,K010,transition,none,few,fine,none,none,none,yes,yes
IEEXG0048,EC1,K010,wetland,angular,few,fine,none,none,none,no,no
IEEXG004R,EC1,K011,upland,none,few,fine,none,worms,none,no,no
IEEXG004U,EC1,K011,transition,none,moderate,fine,none,none,none,no,no
IEEXG004O,EC1,K011,wetland,none,few,fine,none,none,none,yes,no
IEEXG0054,EC1,K012,wetland,none,moderate,fine,quartz,none,intact and fragments,no,no
IEEXG005N,EC1,K013,upland,none,moderate,fine,quartz,none,none,no,no
IEEXG005Q,EC1,K013,transition,none,moderate,fine,quartz,worms,none,no,no
IEEXG005K,EC1,K013,wetland,none,many,fine,none,none,none,no,no
IEEXG0060,EC1,K014,wetland,none,few,fine,quartz,worms,none,no,no
IEEXG006J,EC1,K015,upland,none,moderate,fine,quartz,none,none,no,no
IEEXG006M,EC1,K015,transition,none,none,NA,none,none,none,yes,no
IEEXG006G,EC1,K015,wetland,none,few,fine,none,none,none,no,no
IEEXG006Z,EC1,K016,upland,none,moderate,fine,none,insects,none,no,no
IEEXG0072,EC1,K016,transition,none,none,NA,none,none,none,yes,no
IEEXG006W,EC1,K016,wetland,none,none,NA,none,none,none,no,no
IEEXG007F,EC1,K017,upland,none,few,fine,quartz,none,none,no,no
IEEXG007I,EC1,K017,transition,none,few,fine,quartz,none,none,no,no
IEEXG007C,EC1,K017,wetland,none,few,fine,none,none,none,no,no
IEEXG008B,EC1,K019,upland,none,moderate,fine,none,worms,intact,no,no
IEEXG008E,EC1,K019,transition,none,few,fine,none,none,none,yes,no
IEEXG0088,EC1,K019,wetland,none,none,NA,quartz,none,none,no,no
IEEXG008R,EC1,K020,upland,angular,moderate,fine,none,none,none,no,no
IEEXG0097,EC1,K021,upland,angular,few,fine,none,none,none,no,no
IEEXG009A,EC1,K021,transition,angular,few,fine,none,worms,intact,no,no
IEEXG0094,EC1,K021,wetland,none,moderate,fine,none,molluscs,intact,no,no
IEEXG009N,EC1,K022,upland,none,few,fine,none,insects,none,no,no
IEEXG009Q,EC1,K022,transition,none,moderate,fine,none,none,none,no,no
IEEXG009K,EC1,K022,wetland,none,few,fine,none,none,none,no,no
IEEXG00A3,EC1,K023,upland,none,moderate,fine,quartz,none,none,no,no
IEEXG00A0,EC1,K023,wetland,none,moderate,fine,none,none,none,yes,no
IEEXG00AJ,EC1,K024,upland,none,few,fine,quartz,none,none,no,no
IEEXG00AM,EC1,K024,transition,none,few,fine,none,none,none,no,no
IEEXG00AG,EC1,K024,wetland,none,many,fine,none,none,none,no,no
IEEXG00AZ,EC1,K025,upland,none,moderate,fine,none,none,none,no,no
IEEXG00B2,EC1,K025,transition,none,few,fine,none,none,none,yes,no
IEEXG00AW,EC1,K025,wetland,none,few,fine,none,none,none,yes,no
IEEXG00BF,EC1,K026,upland,none,few,fine,none,worms,none,no,no
IEEXG00BI,EC1,K026,transition,none,moderate,fine,none,none,none,no,no
IEEXG00BC,EC1,K026,wetland,rounded,moderate,fine,none,none,none,yes,no
IEEXG00CR,EC1,K029,upland,none,moderate,fine,quartz,none,none,no,no
IEEXG00CU,EC1,K029,transition,none,moderate,fine,none,none,none,no,no
IEEXG00CO,EC1,K029,wetland,none,moderate,fine,none,none,none,no,no
IEEXG00D7,EC1,K030,upland,none,moderate,fine,none,none,none,no,no
IEEXG00D4,EC1,K030,wetland,none,few,fine,none,none,none,yes,no
IEEXG00EJ,EC1,K033,upland,none,few,fine,quartz,none,none,no,no
IEEXG00EG,EC1,K033,wetland,none,many,fine,none,worms,none,no,no
IEEXG00EZ,EC1,K034,upland,none,few,fine,quartz,none,none,no,no
IEEXG00F2,EC1,K034,transition,none,moderate,fine,none,none,none,no,no
IEEXG00EW,EC1,K034,wetland,none,few,fine,none,none,none,yes,no
IEEXG00FF,EC1,K035,upland,angular,few,fine,none,none,none,no,no
IEEXG00FI,EC1,K035,transition,none,moderate,fine,none,none,none,no,no
IEEXG00FC,EC1,K035,wetland,none,moderate,fine,none,none,none,no,no
IEEXG00FV,EC1,K036,upland,none,moderate,fine,none,none,none,no,no
IEEXG00FY,EC1,K036,transition,none,moderate,fine,none,none,none,no,no
IEEXG00FS,EC1,K036,wetland,none,moderate,fine,none,none,none,yes,no
IEEXG00G8,EC1,K037,wetland,none,few,fine,none,none,none,yes,no
IEEXG00GR,EC1,K038,upland,none,few,fine,none,worms,none,no,no
IEEXG00GO,EC1,K038,wetland,none,moderate,fine,mica,worms,none,yes,no
IEEXG00H7,EC1,K039,upland,none,few,fine,quartz,none,none,no,no
IEEXG00HA,EC1,K039,transition,none,moderate,fine,none,none,none,no,no
IEEXG00H4,EC1,K039,wetland,none,many,fine,none,none,none,no,no
IEEXG00HN,EC1,K040,upland,none,few,fine,none,none,none,no,no
IEEXG00HQ,EC1,K040,transition,none,moderate,fine,none,none,none,no,no
IEEXG00HK,EC1,K040,wetland,none,moderate,fine,none,none,none,yes,no
IEEXG00I3,EC1,K041,upland,none,few,fine,none,none,none,no,no
IEEXG00I6,EC1,K041,transition,none,none,NA,none,none,none,no,no
IEEXG00I0,EC1,K041,wetland,none,few,fine,none,none,none,yes,no
IEEXG00IJ,EC1,K042,upland,angular and rounded,moderate,fine,quartz,none,none,no,yes
IEEXG00IM,EC1,K042,transition,none,few,fine,none,none,none,no,yes
IEEXG00IG,EC1,K042,wetland,none,moderate,fine,mica,none,none,no,no
IEEXG00JF,EC1,K044,upland,none,moderate,fine,quartz,none,none,no,no
IEEXG00JI,EC1,K044,transition,none,few,fine,none,insects,none,no,no
IEEXG00JC,EC1,K044,wetland,angular,few,fine,none,none,none,no,no
IEEXG00JV,EC1,K045,upland,none,moderate,fine,quartz,none,none,no,no
IEEXG00JY,EC1,K045,transition,none,few,fine,none,none,none,yes,no
IEEXG00JS,EC1,K045,wetland,none,moderate,fine,none,none,none,no,no
IEEXG00KB,EC1,K046,upland,none,moderate,fine,none,none,none,no,no
IEEXG00K8,EC1,K046,wetland,none,none,NA,none,none,none,no,no
IEEXG00KR,EC1,K047,upland,angular,moderate,fine,quartz,none,none,no,yes
IEEXG00KU,EC1,K047,transition,angular,moderate,fine,quartz,none,none,yes,no
IEEXG00KO,EC1,K047,wetland,none,moderate,fine,quartz,none,none,yes,no
IEEXG00L7,EC1,K048,upland,none,few,fine,quartz,none,none,yes,yes
IEEXG00LA,EC1,K048,transition,none,few,fine,mica,none,none,no,no
IEEXG00L4,EC1,K048,wetland,none,few,fine,mica,none,none,no,no
IEEXG00LN,EC1,K049,upland,none,none,NA,quartz,none,none,no,no
IEEXG00LQ,EC1,K049,transition,none,moderate,fine,quartz,none,fragments,no,no
IEEXG00LK,EC1,K049,wetland,none,moderate,fine,quartz,none,none,no,no
IEEXG00M3,EC1,K050,upland,none,moderate,fine,none,none,none,yes,no
IEEXG00M6,EC1,K050,transition,none,none,NA,none,none,none,yes,no
IEEXG00M0,EC1,K050,wetland,none,many,fine,none,none,none,yes,no
IEEXG00MJ,EC1,K051,upland,none,few,fine,none,none,none,no,no
IEEXG00MM,EC1,K051,transition,angular,moderate,fine,none,none,none,no,no
IEEXG00MG,EC1,K051,wetland,angular,none,NA,quartz,none,none,yes,no
IEEXG00MZ,EC1,K052,upland,none,few,fine,none,none,none,no,no
IEEXG00N2,EC1,K052,transition,angular,none,NA,none,none,none,no,no
IEEXG00NF,EC1,K053,upland,none,moderate,fine,quartz,none,none,no,no
IEEXG00NI,EC1,K053,transition,none,moderate,fine,quartz,none,none,no,no
IEEXG00NC,EC1,K053,wetland,none,few,fine,none,none,none,yes,no
IEEXG00NV,EC1,K054,upland,none,few,fine,quartz,none,none,no,no
IEEXG00NY,EC1,K054,transition,none,moderate,fine,quartz,none,none,no,no
IEEXG00NS,EC1,K054,wetland,none,few,fine,none,none,none,no,no
IEEXG00OB,EC1,K055,upland,none,few,fine,quartz,none,none,no,no
IEEXG00OR,EC1,K056,upland,none,few,fine,none,none,none,no,no
IEEXG00OU,EC1,K056,transition,rounded,few,fine,quartz,none,none,no,no
IEEXG00OO,EC1,K056,wetland,none,moderate,fine,none,none,none,no,no
IEEXG00PN,EC1,K058,upland,none,moderate,fine,none,none,none,no,no
IEEXG00PQ,EC1,K058,transition,none,moderate,fine,quartz,none,none,no,no
IEEXG00PK,EC1,K058,wetland,none,moderate,fine,none,none,none,no,no
IEEXG00Q3,EC1,K059,upland,none,moderate,fine,none,none,none,no,no
IEEXG00Q6,EC1,K059,transition,none,none,NA,none,none,none,no,no
IEEXG00Q0,EC1,K059,wetland,none,many,fine,none,none,none,no,no
IEEXG00QZ,EC1,K061,upland,rounded,few,fine,quartz,none,none,no,no
IEEXG00R2,EC1,K061,transition,none,few,fine,quartz,none,none,yes,no
IEEXG00QW,EC1,K061,wetland,none,moderate,fine,quartz,none,none,yes,no
IEEXG00RF,EC1,K062,upland,none,few,fine,none,none,none,no,no
IEEXG00RI,EC1,K062,transition,none,few,fine,none,worms,none,yes,no
IEEXG00RC,EC1,K062,wetland,none,few,fine,none,none,none,yes,no
