"kit_id","transect_location","water_color_forel.ule_scale","water_dissolved_o2_mg_l","water_orp_mv","water_ph","upland_soil_temperature_degC","upland_soil_moisture","transition_soil_temperature_degC","transition_soil_moisture","wetland_soil_temperature_degC","wetland_soil_moisture","latitude","longitude","elevation_m","collection_time_utc","macrophytes_algae","systemtype","volume_ml","notes","soil_type","rotten_egg_smell","color","soil_horizon","ecosystem_code_IGBP","elevation_flag","collection_date","site_name","state","region","samples_collected","air_temperature_degC","barometric_pressure_inhg","weather_conditions","kit_notes","igsn.x","campaign.x","bulk_density_g_cm3","igsn.y","campaign.y","Ca_meq_100g","Mg_meq_100g","Na_meq_100g","K_meq_100g","CEC_meq_100g","Al_meq_100g","igsn.x","campaign.x","specific_conductance_us_cm","igsn.y","campaign.y","moisturecontent_perc_drywtbasis","igsn.x","campaign.x","Fe_ug_g","igsn.y","campaign.y","albite","chlorite","dolomite","halite","hornblende","kaolinite","microcline","muscovite","pyrite","quartz","igsn.x","campaign.x","ph","igsn.y","campaign.y","carbon_weight_perc","igsn.x","campaign.x","percent_clay","percent_sand","percent_silt","igsn.y","campaign.y","nitrogen_weight_perc","igsn.x","campaign.x","pebbles_angular_rounded","root_presence","root_thickness","visible_minerals","visible_organisms","uninhabited_shells","iron_oxidation","glass_plastic","igsn.y","campaign.y","alpha","n","th_r","th_s"
"K004","sediment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.502,-83.0435,174.76,"19:30:00",NA,NA,NA,NA,"Toledo silty clay, 0 to 1 percent slopes, flooded (Tp)","No","Black, Grey, Reddish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K004","transition",NA,NA,NA,NA,18.1,NA,17.9,NA,16.1,NA,41.5018,-83.0456,175.08,"17:40:00",NA,NA,NA,NA,"Toledo silty clay, 0 to 1 percent slopes (To)",NA,NA,"Organic",NA,NA,"2021-10-05","Portage River","OH","Great Lakes","Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland","21.1111-25","30.22","Cloudy","ecosytem type TAI","IEEXG001S","EC1",0.392857142857143,"IEEXG001Q","EC1",6.16,2.84,0.13,0.43,9.56,NA,"IEEXG001Q","EC1",105,"IEEXG001R","EC1",110,"IEEXG001Q","EC1",4137.45,"IEEXG001Q","EC1",11.1281,0,0,0,0,8.9955,14.7087,0,0,65.1677,"IEEXG001Q","EC1",6.19,"IEEXG001Q","EC1",7.091,"IEEXG001S","EC1",1.46,10.27,88.27,"IEEXG001Q","EC1",0.751,"IEEXG001Q","EC1","none","few","fine","none","molluscs","intact","no","no","IEEXG001S","EC1",0.1482,1.188,0,0.495
"K004","upland",NA,NA,NA,NA,18.1,NA,17.9,NA,16.1,NA,41.5015,-83.0462,175.71,"17:00:00",NA,NA,NA,NA,"Toledo silty clay, 0 to 1 percent slopes (To)",NA,NA,"Mineral",NA,NA,"2021-10-05","Portage River","OH","Great Lakes","Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland","21.1111-25","30.22","Cloudy","ecosytem type TAI","IEEXG001P","EC1",0.866298673378101,"IEEXG001N","EC1",4.22,1.51,0.04,0.38,6.15,NA,"IEEXG001N","EC1",63.7,"IEEXG001O","EC1",44,"IEEXG001N","EC1",3526.8,"IEEXG001N","EC1",9.9059,0,0,0,0,3.7195,8.4124,18.6292,0,59.3331,"IEEXG001N","EC1",6.21,"IEEXG001N","EC1",4.293,"IEEXG001P","EC1",5.55,12.88,81.57,"IEEXG001N","EC1",0.434,"IEEXG001N","EC1","none","few","fine","none","worms","none","no","no","IEEXG001P","EC1",0.4057,1.121,0,0.416
"K004","water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.502,-83.0435,174.76,"19:00:00","Macrophytes, Algae","Tidal River",NA,"Water color description: ? Check copy of form",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K004","wetland",NA,NA,NA,NA,18.1,NA,17.9,NA,16.1,NA,41.5018,-83.0443,174.83,"18:20:00",NA,NA,NA,NA,"Toledo silty clay, 0 to 1 percent slopes, flooded (Tp)",NA,NA,"Organic",NA,NA,"2021-10-05","Portage River","OH","Great Lakes","Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland","21.1111-25","30.22","Cloudy","ecosytem type TAI","IEEXG001M","EC1",0.28755601982412,"IEEXG001K","EC1",7.44,2.86,0.37,0.57,11.24,NA,"IEEXG001K","EC1",561,"IEEXG001L","EC1",302,"IEEXG001K","EC1",5863.2,"IEEXG001K","EC1",6.3117,0.952,0.8542,0,0,8.2042,11.0118,36.3749,0,36.2912,"IEEXG001K","EC1",6.18,"IEEXG001K","EC1",6.744,NA,NA,NA,NA,NA,"IEEXG001K","EC1",0.672,"IEEXG001K","EC1","none","moderate","fine","none","none","none","yes","no","IEEXG001M","EC1",0.0737,1.231,0,0.634
"K008","sediment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3824,-82.5147,173.26,"15:50:00",NA,NA,NA,NA,"Water (W)","No","Dark Chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K008","transition",17,7.51,NA,7.73,13.2,NA,14.4,NA,13.9,NA,41.3827,-82.515,176.01,"14:46:00",NA,NA,NA,NA,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",NA,NA,"Organic",NA,NA,"2021-10-19","Mouth, Old Woman Creek National Estuarine Research Reserve","OH","Great Lakes","Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland","17.7","29.83","Sunny",NA,"IEEXG003K","EC1",0.13131067961165,"IEEXG003I","EC1",9.61,4.63,1.31,0.41,15.96,NA,"IEEXG003I","EC1",395,"IEEXG003J","EC1",312,"IEEXG003I","EC1",1451.5,"IEEXG003I","EC1",16.5106,0,1.9505,0,0,10.2061,9.4909,0,0,61.8418,"IEEXG003I","EC1",6.23,"IEEXG003I","EC1",18.308,NA,NA,NA,NA,NA,"IEEXG003I","EC1",1.468,"IEEXG003I","EC1","none","few","fine","none","none","none","no","no","IEEXG003K","EC1",0.309,1.187,0,0.816
"K008","upland",17,7.51,NA,7.73,13.2,NA,14.4,NA,13.9,NA,41.3827,-82.515,176.01,"14:57:00",NA,NA,NA,NA,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",NA,NA,"Organic",5,NA,"2021-10-19","Mouth, Old Woman Creek National Estuarine Research Reserve","OH","Great Lakes","Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland","17.7","29.83","Sunny",NA,"IEEXG003H","EC1",0.88818730456459,"IEEXG003F","EC1",3.49,1.07,0.04,0.22,4.82,NA,"IEEXG003F","EC1",70.1,"IEEXG003G","EC1",33,"IEEXG003F","EC1",704.26,"IEEXG003F","EC1",14.3907,0,0.6208,0,2.7062,0,9.1936,0,0,73.0886,"IEEXG003F","EC1",6.66,"IEEXG003F","EC1",3.014,"IEEXG003H","EC1",10.49,51.89,37.62,"IEEXG003F","EC1",0.296,"IEEXG003F","EC1","none","few","fine","none","none","none","no","no","IEEXG003H","EC1",0.0702,1.366,0,0.441
"K008","water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3824,-82.5147,173.26,"15:20:00","None","Lacestuary",390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K008","wetland",17,7.51,NA,7.73,13.2,NA,14.4,NA,13.9,NA,41.3826,-82.5148,175.03,"15:05:00",NA,NA,NA,NA,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)",NA,NA,"Organic",NA,NA,"2021-10-19","Mouth, Old Woman Creek National Estuarine Research Reserve","OH","Great Lakes","Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland","17.7","29.83","Sunny",NA,"IEEXG003E","EC1",0.355592105263158,"IEEXG003C","EC1",5.33,1.54,0.36,0.18,7.41,NA,"IEEXG003C","EC1",286,"IEEXG003D","EC1",204,"IEEXG003C","EC1",5769.18,"IEEXG003C","EC1",17.6531,0,7.1241,0,0,6.1276,10.737,0,0,58.3582,"IEEXG003C","EC1",6.52,"IEEXG003C","EC1",6.624,"IEEXG003E","EC1",11.86,46.48,41.66,"IEEXG003C","EC1",0.51,"IEEXG003C","EC1","none","few","fine","none","none","none","no","no","IEEXG003E","EC1",0.023,1.258,0,0.726
"K009","sediment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.3754,-82.5164,174.49,"18:57:00",NA,NA,NA,NA,"Fluvaquents, silty, 0 to 1 percent slopes, frequently flooded (FnA)","No","Dark Chocolate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
